wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_actions,duration_days,repay_ratio,activity_score,longevity,risk_factor,score,credit_score
0x0331c1ce75f315a49849be77b6a37b1959ebb1eb,2,0,0,2,0,4,45.91052083333334,1.0,0.00028040658955485456,0.29852267486595085,0.0,0.5597886569500566,632
0x0332be92c16b30591296507a665a164c4966b425,1,1,0,0,0,2,0.0002314814814814815,0.0,0.00014020329477742728,1.5051554584763732e-06,0.0,0.20004236201952494,225
0x0332d875f3fc0475474548dcf29f23591cb14d29,1,1,0,0,0,2,0.006319444444444444,0.0,0.00014020329477742728,4.109074401640499e-05,0.0,0.20005027913723653,225
0x0333a10f65956afcbd633c517c2a6dd3ced00a40,2,2,3,2,0,9,0.9643055555555555,1.0,0.0006309148264984228,0.006270176608920875,0.0,0.5014433097697337,566
0x0333fbf46d16ea6d26c6a09503cc3c0c1e7c95c8,2,1,0,0,0,3,24.001608796296296,0.0,0.0002103049421661409,0.1560649787652668,0.0,0.2312760872357032,261
0x033466da370e828b957754b75a1370506d0de739,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x0334e081f088642f7628030bc6b28289495c5400,0,0,0,1,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x0334eca378b5c3ca56c8cbef990eec2e3a30a7cf,16,10,1,6,0,33,69.04325231481481,0.1,0.00231335436382755,0.4489379773600536,0.0,0.32048160178115903,361
0x03352f97e46d751d978c0293f0e51d53b6959599,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x03356060622b057978f616a26ebb2967a73625ec,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x0335a3481a074ead996574587714af349a114013,1,1,2,9,0,13,77.46043981481482,1.0,0.0009113214160532772,0.5036688164300361,0.0,0.6010071597108233,678
0x0335c709c9d9f938b2554b91974ef0812e16e890,1,0,0,0,0,1,1.0,1.0,7.010164738871364e-05,0.006502271580617933,0.0,0.5013214848103402,566
0x0335f428955506d0c06d18b8fa5a8aabf7462e59,20,13,7,4,0,44,96.33783564814814,0.5384615384615384,0.0030844724851033997,0.6264147708731949,0.0,0.48774675745863155,550
0x03365fa521cc5ece8b1f7ed1fb00bd4637b01781,1,1,0,0,0,2,0.0010648148148148149,0.0,0.00014020329477742728,6.923715108991317e-06,0.0,0.20004344573145505,225
